Timestamp,Score,Do you use social media?,Age Group:,Frequency of Travel:,Primary Social Media Platform for Travel Planning:,I find using social media for travel-related content enjoyable.,I have fun exploring travel destinations through social media platforms.,I consider travel information on social media to be reliable. ,I trust the travel-related content shared on social media platforms.,I believe that travel influencers provide credible information about destinations.,I trust recommendations given by travel influencers on social media. ,I have a positive attitude toward using social media for travel planning. ,Using social media for travel decisions is a good idea.,I have significant prior experience in traveling to different places. ,My past travel experiences help me make better travel decisions. ,I often choose travel destinations based on what I see on social media. ,Social media influences my actual travel decisions and actions.,How much travel experience do you have?,Rank these from 1 to 4 based on what makes you want to travel ,"In one sentence, what worries you most about booking a trip based on social media?"
3/18/2026 19:44:17,,Yes,18–25,Once a year,"Instagram, Facebook, YouTube",4,3,5,4,5,5,4,4,1,1,1,4,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Helpful and detailed information, Honest reviews from other travelers","The biggest worry is that highly curated, edited, or sponsored social media content creates unrealistic expectations, leading to disappointment when the actual destination, hotel, or experience fails to match the ""insta-worthy"" imagery. "
3/18/2026 19:44:33,,Yes,18–25,2–3 times a year,"Instagram, YouTube",3,2,4,5,3,5,4,4,3,3,3,5,Beginner (Rarely travel),Beautiful photos/videos,Expenses 
3/18/2026 19:50:09,,Yes,18–25,2–3 times a year,"Instagram, Facebook, YouTube",4,5,4,4,4,4,4,4,4,3,4,5,Intermediate (Travel once or twice a year),"Beautiful photos/videos, Advice from influencers I follow, Honest reviews from other travelers","The biggest worry is that highly curated, edited, or sponsored social media content creates unrealistic expectations, leading to disappointment when the actual destination, hotel, or experience fails to match the ""insta-worthy"" imagery. "
3/18/2026 20:23:01,,Yes,41–55,More than 3 times a year,YouTube,1,1,1,1,1,1,2,3,4,2,2,2,Intermediate (Travel once or twice a year),Honest reviews from other travelers,"Comfortable, safety"
3/18/2026 20:34:17,,Yes,18–25,Once a year,YouTube,3,4,2,3,2,4,5,4,5,5,4,1,Beginner (Rarely travel),"Beautiful photos/videos, Helpful and detailed information, Advice from influencers I follow, Honest reviews from other travelers",
3/18/2026 20:37:03,,Yes,18–25,Once a year,"Instagram, YouTube",1,2,1,1,1,1,2,2,2,1,3,4,Beginner (Rarely travel),Beautiful photos/videos,"Comfortable, safety"
3/18/2026 20:37:32,,Yes,26–40,Once a year,Instagram,4,1,5,5,1,1,3,1,3,5,5,1,Intermediate (Travel once or twice a year),Honest reviews from other travelers,Whether the given Information is perfect or not
3/18/2026 20:37:37,,Yes,26–40,Never,YouTube,1,1,1,1,1,1,1,1,2,5,4,2,Beginner (Rarely travel),Honest reviews from other travelers,Fraud
3/18/2026 20:44:38,,Yes,18–25,Once a year,,1,2,3,4,1,3,2,3,3,1,2,5,Beginner (Rarely travel),Beautiful photos/videos,Beautiful places with affordable cost package 
3/18/2026 20:46:20,,Yes,18–25,Once a year,YouTube,2,1,2,3,4,3,3,3,4,1,1,3,Intermediate (Travel once or twice a year),Beautiful photos/videos,
